"timestamp","total_bikes","total_docks","utilization_rate","active_stations","total_stations","active_pct","avg_bikes_per_station","median_capacity","empty_stations","empty_pct","full_stations","full_pct"
"2025-07-13 13:10:10",6393,10215,38.4934971098266,925,925,100,6.91135135135135,19,107,11.5675675675676,24,2.59459459459459
"2025-07-14 13:11:15",6018,10661,36.0812998381198,928,928,100,6.48491379310345,19,148,15.948275862069,33,3.55603448275862
"2025-07-15 13:09:21",5838,10755,35.1835111191466,927,928,99.8922413793103,6.29094827586207,19,160,17.2413793103448,33,3.55603448275862
"2025-07-16 13:12:05",5800,10746,35.0537894355131,929,930,99.8924731182796,6.23655913978495,19,160,17.2043010752688,33,3.54838709677419
"2025-07-17 13:10:06",5959,10464,36.2844790842112,932,933,99.89281886388,6.38692390139335,19,163,17.470525187567,29,3.10825294748124
"2025-07-18 13:11:13",5908,10476,36.0595703125,933,934,99.8929336188437,6.3254817987152,19,153,16.3811563169165,33,3.53319057815846
"2025-07-19 13:09:55",5695,10752,34.6263756308141,933,934,99.8929336188437,6.09743040685225,19,141,15.0963597430407,30,3.21199143468951
"2025-07-20 13:08:12",5799,10745,35.0519825918762,933,934,99.8929336188437,6.20877944325482,19,144,15.4175588865096,32,3.42612419700214
"2025-07-21 13:12:16",5751,10861,34.6195521309896,933,934,99.8929336188437,6.15738758029979,19,179,19.1648822269807,26,2.78372591006424
"2025-07-22 13:10:21",5534,11007,33.4562602019225,933,934,99.8929336188437,5.92505353319058,19,174,18.6295503211991,31,3.31905781584582
"2025-07-23 13:11:21",5523,10961,33.505217180296,933,933,100,5.91961414790997,19,171,18.3279742765273,38,4.07288317256163
"2025-07-24 13:12:30",5517,10893,33.6197440585009,934,934,100,5.906852248394,19,200,21.4132762312634,30,3.21199143468951
"2025-07-25 13:10:34",5834,10658,35.3747271404317,933,933,100,6.2529474812433,19,152,16.2915326902465,30,3.21543408360129
"2025-07-26 13:08:39",5866,10759,35.2842105263158,932,932,100,6.29399141630901,19,149,15.9871244635193,34,3.6480686695279
"2025-07-27 13:10:01",5953,10768,35.6019376831529,934,934,100,6.37366167023555,19,122,13.0620985010707,35,3.74732334047109
"2025-07-28 13:11:17",5818,10877,34.8487571129081,936,936,100,6.21581196581197,19,182,19.4444444444444,42,4.48717948717949
"2025-07-29 13:12:22",5769,10944,34.5180398492192,939,939,100,6.14376996805112,19,180,19.1693290734824,31,3.3013844515442
"2025-08-04 13:08:18",6153,11070,35.7254833652674,946,946,100,6.50422832980972,19,116,12.262156448203,25,2.64270613107822
"2025-08-11 13:08:14",5875,11036,34.7407013186683,941,941,100,6.24335812964931,19,147,15.6216790648247,37,3.93198724760893
"2025-08-18 13:07:28",6170,10998,35.9389561975769,953,953,100,6.47429171038825,19,149,15.6348373557188,38,3.98740818467996
"2025-08-25 13:04:50",5935,11152,34.7340083104114,961,961,100,6.17585848074922,18,172,17.89802289282,33,3.43392299687825
"2025-09-01 13:05:26",5853,11544,33.6437316778755,966,966,100,6.05900621118012,18,134,13.871635610766,26,2.69151138716356
"2025-09-08 13:06:49",6072,11389,34.7746406276846,972,973,99.8972250770812,6.24049331963001,18,183,18.8078108941418,53,5.44707091469681
"2025-09-15 13:07:34",5850,11504,33.7098075371672,975,975,100,6,18,198,20.3076923076923,47,4.82051282051282
"2025-09-22 13:07:47",6055,11295,34.8991354466859,980,980,100,6.17857142857143,18,187,19.0816326530612,38,3.87755102040816
"2025-09-29 13:08:34",5581,11474,32.7235414834359,984,985,99.8984771573604,5.66598984771574,17,192,19.492385786802,34,3.45177664974619
"2025-10-06 13:06:52",5702,11684,32.7965029333947,990,990,100,5.75959595959596,17,248,25.0505050505051,40,4.04040404040404
"2025-10-13 13:08:01",7009,10898,39.1411179985481,989,989,100,7.08695652173913,17,154,15.5712841253792,53,5.35894843276036
"2025-10-20 13:08:00",6180,11264,35.4276542077505,982,982,100,6.29327902240326,17,227,23.1160896130346,61,6.21181262729124
"2025-10-27 13:08:35",6287,11301,35.7459631566977,980,981,99.8980632008155,6.40876656472987,17,262,26.7074413863405,58,5.91233435270133
"2025-11-03 12:06:28",6621,11135,37.2888037846362,982,982,100,6.74236252545825,17,226,23.0142566191446,61,6.21181262729124
"2025-11-10 12:06:37",7231,10573,40.6144686587284,986,986,100,7.33367139959432,17,171,17.342799188641,44,4.46247464503043
"2025-11-17 12:06:31",6359,11530,35.5469841802225,988,988,100,6.43623481781376,17,246,24.8987854251012,58,5.87044534412955
"2025-11-24 12:06:01",5990,12111,33.0920943594277,987,987,100,6.06889564336373,17,312,31.6109422492401,44,4.45795339412361
"2025-12-01 12:07:51",6021,11968,33.470454166435,989,989,100,6.08796764408493,17,312,31.5470171890799,57,5.7633973710819
"2025-12-08 12:08:44",5823,11994,32.6822697423809,990,990,100,5.88181818181818,17,292,29.4949494949495,50,5.05050505050505
"2025-12-15 12:12:12",6005,12273,32.8537039063355,996,996,100,6.02911646586345,17.5,262,26.3052208835341,47,4.71887550200803
"2025-12-22 12:07:39",5921,12472,32.1915946283912,1001,1001,100,5.91508491508491,17,224,22.3776223776224,43,4.2957042957043
"2025-12-29 12:09:29",6154,12196,33.5367847411444,1001,1001,100,6.14785214785215,17,156,15.5844155844156,38,3.7962037962038
"2026-01-05 12:10:02",6242,12175,33.8925992289732,1004,1004,100,6.21713147410359,17,120,11.9521912350598,31,3.08764940239044
2026-01-08 20:20:56,6225,12310,33.585109252765,1007,1007,100,6.18172790466733,18,121,12.0158887785501,20,1.98609731876862
