"station_id","name","capacity","num_bikes_available","num_docks_available","last_reported","lat","lon","is_installed","is_renting","is_returning"
"7114","Carlton St / Parliament St",27,13,13,1751972887,43.664524,-79.36793,1,1,1
"7115","Howard St / Sherbourne St",31,17,14,1751972948,43.6712581,-79.376367,1,1,1
"7116","Bloor St E / Parliament St",19,1,18,1751972848,43.6719461020018,-79.3724511533729,1,1,1
"7117","640 Bloor Street E",19,2,14,1751973018,43.6746885744863,-79.3670196239627,1,1,1
"7118","King St W / Bay St (East Side)",19,6,9,1751972871,43.648575,-79.380042,1,1,1
"7119","Sumach St / Carlton St (Riverdale Farm)",15,3,11,1751972999,43.665867,-79.362506,1,1,1
"7120","Gerrard St E / River St",11,7,2,1751972931,43.663993,-79.358534,1,1,1
"7121","Jarvis St / Dundas St E",27,8,18,1751972885,43.657266,-79.374756,1,1,1
"7122","Niagara St / Tecumseth St",15,12,2,1751972941,43.641389,-79.404444,1,1,1
"7123","420 Wellington St W",15,2,7,1751973001,43.643834,-79.396649,1,1,1
"7124","Dundas St E / Broadview Ave",19,9,8,1751972984,43.662365,-79.351104,1,1,1
"7126","Yonge St / Yorkville Ave",16,1,13,1751972949,43.671944,-79.387778,1,1,1
"7127","Bay St / Scollard St",15,2,12,1751972925,43.672152,-79.39018,1,1,1
"7128","Yonge St / Aylmer Ave",23,12,11,1751972953,43.675492,-79.388858,1,1,1
"7129","Davenport Rd / Avenue Rd",11,3,7,1751972960,43.674991,-79.396273,1,1,1
"7130","Davenport Rd / Bedford Rd",15,2,12,1751972969,43.674446,-79.398331,1,1,1
"7131","Taddle Creek Park",15,0,14,1751972966,43.66986,-79.398443,1,1,1
"7132","Kendal Ave / Spadina Rd",9,0,9,1751972912,43.670318,-79.405181,1,1,1
"7135","Hanna Ave / Liberty St",32,28,1,1751973012,43.6386086016367,-79.4196543736107,1,1,1
"7137","Davenport Rd / Bathurst St",15,0,14,1751972911,43.676667,-79.416111,1,1,1
"7138","Davenport Rd / Christie St",27,15,12,1751972932,43.675278,-79.423889,1,1,1
"7139","Glen Edyth Dr / Davenport Rd",15,3,11,1751972865,43.677778,-79.405556,1,1,1
"7140","Macpherson Ave / Spadina Rd",15,0,13,1751972954,43.675791,-79.40698,1,1,1
"7141","Bridgman Ave / Kendal Ave",15,0,14,1751973012,43.675556,-79.410278,1,1,1
"7142","Bridgman Ave / Bathurst St",15,4,9,1751973016,43.674444,-79.414722,1,1,1
"7143","Kendal Ave / Bernard Ave",15,3,7,1751972868,43.671513,-79.408317,1,1,1
"7144","Palmerston Ave / Vermont Ave",15,2,11,1751972995,43.671389,-79.416389,1,1,1
"7146","Christie St / Benson Ave (Wychwood Barns)",19,1,18,1751972895,43.68,-79.425,1,1,1
"7147","King St W / Fraser Ave",15,15,0,1751972861,43.6394444,-79.4252777777778,1,1,1
"7148","King St W / Joe Shuster Way",23,19,0,1751972924,43.639444,-79.423611,1,1,1
"7149","Yarmouth Rd / Christie St",11,3,7,1751972957,43.67,-79.4208333333333,1,1,1
"7150","Dufferin St / Sylvan Av (Dufferin Grove Park)",19,9,6,1751972946,43.6555556,-79.4336111111111,1,1,1
"7151","Essex St / Christie St",19,5,13,1751972962,43.6686111,-79.4202777777778,1,1,1
"7153","Bloor St W / Christie St",19,1,16,1751972943,43.6638889,-79.4188888888889,1,1,1
"7154","Bathurst Subway Station",23,0,22,1751972960,43.6666667,-79.4116666666667,1,1,1
"7155","Bathurst St / Lennox St",19,1,17,1751972967,43.663808,-79.410491,1,1,1
"7156","Salem Ave / Bloor St W",15,0,14,1751972953,43.6608333,-79.4316666666667,1,1,1
"7157","Dufferin St / Bloor St W",22,4,16,1751973001,43.6608333333333,-79.4358333333333,1,1,1
"7158","King St W / Stafford St",15,11,3,1751972990,43.6422222,-79.4111111111111,1,1,1
"7160","King St W / Tecumseth St",19,8,11,1751972916,43.6433333333333,-79.4055555555556,1,1,1
"7161","Beverley St / College St",23,0,21,1751972955,43.6575,-79.3952777777778,1,1,1
"7162","Hayter St / La Plante Ave",23,1,20,1751972914,43.6591666666667,-79.3855555555556,1,1,1
"7164","Gould St / Yonge St (TMU)",23,0,20,1751972999,43.657424,-79.381019,1,1,1
"7168","Queens Quay / Yonge St",46,18,28,1751972950,43.641646,-79.375308,1,1,1
"7169","Front St W / Bay St (North Side)",11,5,5,1751972995,43.646162,-79.378912,1,1,1
"7170","Spadina Ave / Willcocks St",15,2,12,1751972846,43.6616667,-79.4013888888889,1,1,1
"7171","Ontario Place Blvd / Lake Shore Blvd W",27,10,16,1751972954,43.6322445,-79.4108105,1,1,1
"7172","Strachan Ave / Princes' Blvd",19,16,2,1751972905,43.635,-79.4088888888889,1,1,1
"7173","Cariboo Ave / Railpath Trail",19,2,17,1751972990,43.66666667,-79.4583333333333,1,1,1
"7174","Bloor St W / Dundas St W",15,1,14,1751972945,43.6563889,-79.4516666666667,1,1,1
"7175","HTO Park (Queens Quay W)",27,19,6,1751972864,43.63796,-79.387502,1,1,1
"7176","Bathurst St / Fort York Blvd",19,13,5,1751972861,43.639179,-79.399595,1,1,1
"7178","Dundas St W / Edna Ave",15,3,9,1751972923,43.657192,-79.452559,1,1,1
"7180","Lansdowne Subway Station",23,20,2,1751973012,43.659229181581,-79.4432090102228,1,1,1
"7181","Lansdowne Ave / Whytock Ave",15,10,4,1751972994,43.6538888888889,-79.4413888888889,1,1,1
"7182","Sterling Rd / Dundas St W",19,6,11,1751972930,43.6508333333333,-79.4430555555556,1,1,1
"7183","St Clarens Ave / College St",15,10,4,1751972862,43.651238,-79.43868,1,1,1
"7188","Exhibition GO (Atlantic Ave)",15,13,0,1751972935,43.6376954918301,-79.420231841935,1,1,1
"7189","Augusta Ave / Denison Sq",15,1,10,1751973020,43.653766,-79.4016759,1,1,1
"7190","St. George St / Hoskin Ave",15,4,8,1751972987,43.6637403,-79.3980645,1,1,1
"7191","Central Tech  (Harbord St)",11,5,5,1751972849,43.661975,-79.407896,1,1,1
"7192","Harbord St / Clinton St",15,5,8,1751972895,43.660414,-79.415646,1,1,1
"7193","Dufferin St / Queen St W",15,15,0,1751972949,43.6430968793777,-79.4287561377064,1,1,1
"7194","Mortimer Ave / Coxwell Ave",23,14,9,1751972876,43.690564,-79.326319,1,1,1
"7195","Ulster St / Bathurst St",11,4,6,1751972897,43.66,-79.4088888888889,1,1,1
"7196","Roxton Rd / Harbord St",11,9,2,1751972956,43.65905,-79.422988,1,1,1
"7197","Queen St W / Dovercourt Rd",11,7,3,1751972911,43.6438602,-79.4227573,1,1,1
"7198","Queen St W / Cowan Ave",19,15,4,1751972866,43.6408972417382,-79.4328358251833,1,1,1
"7199","College St / Markham St",19,7,8,1751973003,43.6563888888889,-79.4091666666667,1,1,1
"7203","Bathurst St/Queens Quay(Billy Bishop Airport)",34,31,1,1751973000,43.635492,-79.398253,1,1,1
"7204","College St / Crawford St",19,9,6,1751972988,43.655,-79.418889,1,1,1
"7205","Rusholme Park Cres / College St",15,10,5,1751972968,43.65277778,-79.42972222,1,1,1
"7206","Claremont St / Dundas St W",13,8,5,1751972874,43.651281,-79.411717,1,1,1
"7207","Dundas St W / Crawford St",47,24,20,1751972990,43.649722,-79.416944,1,1,1
"7208","80 Clinton St",15,5,10,1751972891,43.656296,-79.414663,1,1,1
