"station_id","name","capacity","num_bikes_available","num_docks_available","last_reported","lat","lon","is_installed","is_renting","is_returning","capture_timestamp"
7173,"Cariboo Ave / Railpath Trail",19,5,13,1751943748,43.66666667,-79.4583333333333,1,1,1,2025-07-07 23:03:34
7174,"Bloor St W / Dundas St W",15,1,9,1751943709,43.6563889,-79.4516666666667,1,1,1,2025-07-07 23:03:34
7175,"HTO Park (Queens Quay W)",27,5,17,1751943809,43.63796,-79.387502,1,1,1,2025-07-07 23:03:34
7176,"Bathurst St / Fort York Blvd",19,18,0,1751943804,43.639179,-79.399595,1,1,1,2025-07-07 23:03:34
7178,"Dundas St W / Edna Ave",15,3,9,1751943870,43.657192,-79.452559,1,1,1,2025-07-07 23:03:34
7180,"Lansdowne Subway Station",23,1,21,1751943773,43.659229181581,-79.4432090102228,1,1,1,2025-07-07 23:03:34
7181,"Lansdowne Ave / Whytock Ave",15,8,6,1751943755,43.6538888888889,-79.4413888888889,1,1,1,2025-07-07 23:03:34
7182,"Sterling Rd / Dundas St W",19,6,11,1751943863,43.6508333333333,-79.4430555555556,1,1,1,2025-07-07 23:03:34
7183,"St Clarens Ave / College St",15,7,7,1751943803,43.651238,-79.43868,1,1,1,2025-07-07 23:03:34
7188,"Exhibition GO (Atlantic Ave)",15,13,0,1751943873,43.6376954918301,-79.420231841935,1,1,1,2025-07-07 23:03:34
7189,"Augusta Ave / Denison Sq",15,3,9,1751943784,43.653766,-79.4016759,1,1,1,2025-07-07 23:03:34
7190,"St. George St / Hoskin Ave",15,1,9,1751943749,43.6637403,-79.3980645,1,1,1,2025-07-07 23:03:34
7191,"Central Tech  (Harbord St)",11,0,8,1751943788,43.661975,-79.407896,1,1,1,2025-07-07 23:03:34
7192,"Harbord St / Clinton St",15,5,8,1751943836,43.660414,-79.415646,1,1,1,2025-07-07 23:03:34
7193,"Dufferin St / Queen St W",15,15,0,1751943707,43.6430968793777,-79.4287561377064,1,1,1,2025-07-07 23:03:34
7194,"Mortimer Ave / Coxwell Ave",23,11,12,1751943821,43.690564,-79.326319,1,1,1,2025-07-07 23:03:34
7195,"Ulster St / Bathurst St",11,4,5,1751943830,43.66,-79.4088888888889,1,1,1,2025-07-07 23:03:34
7196,"Roxton Rd / Harbord St",11,8,3,1751943718,43.65905,-79.422988,1,1,1,2025-07-07 23:03:34
7197,"Queen St W / Dovercourt Rd",11,8,1,1751943854,43.6438602,-79.4227573,1,1,1,2025-07-07 23:03:34
7198,"Queen St W / Cowan Ave",19,15,0,1751943801,43.6408972417382,-79.4328358251833,1,1,1,2025-07-07 23:03:34
7199,"College St / Markham St",19,5,11,1751943760,43.6563888888889,-79.4091666666667,1,1,1,2025-07-07 23:03:34
7202,"York St / Queen St W (City Hall)",27,0,24,1751943862,43.6516061917946,-79.3840469333435,1,1,1,2025-07-07 23:03:34
7203,"Bathurst St/Queens Quay(Billy Bishop Airport)",34,28,0,1751943757,43.635492,-79.398253,1,1,1,2025-07-07 23:03:34
7204,"College St / Crawford St",19,12,1,1751943753,43.655,-79.418889,1,1,1,2025-07-07 23:03:34
7205,"Rusholme Park Cres / College St",15,12,3,1751943732,43.65277778,-79.42972222,1,1,1,2025-07-07 23:03:34
7206,"Claremont St / Dundas St W",13,10,0,1751943813,43.651281,-79.411717,1,1,1,2025-07-07 23:03:34
7207,"Dundas St W / Crawford St",47,23,19,1751943745,43.649722,-79.416944,1,1,1,2025-07-07 23:03:34
7208,"80 Clinton St",15,10,4,1751943834,43.656296,-79.414663,1,1,1,2025-07-07 23:03:34
7209,"Ossington Ave / Harrison St",19,16,1,1751943753,43.6511111111111,-79.4213888888889,1,1,1,2025-07-07 23:03:34
7210,"Mary McCormick Rec Centre (Sheridan Ave)",15,13,0,1751943822,43.6475,-79.4330555555556,1,1,1,2025-07-07 23:03:34
7211,"Fort York Blvd / Garrison Rd",15,13,1,1751943817,43.637381,-79.406112,1,1,1,2025-07-07 23:03:34
7216,"Wellington St W / Stafford St",23,18,3,1751943704,43.6409957,-79.4096663,1,1,1,2025-07-07 23:03:34
7217,"Soho St / Queen St W",14,7,5,1751943789,43.6496497142916,-79.3937214135265,1,1,1,2025-07-07 23:03:34
7220,"Lake Shore Blvd W / Ellis Ave",19,15,2,1751943823,43.635932,-79.465083,1,1,1,2025-07-07 23:03:34
7221,"High Park Subway Station",11,4,6,1751943853,43.6543604,-79.4655296,1,1,1,2025-07-07 23:03:34
7222,"Sunnyside - Gus Ryder Pool",27,10,15,1751943759,43.637894,-79.454823,1,1,1,2025-07-07 23:03:34
7223,"Parkside Dr / Bloor St W - SMART",12,5,4,1751943766,43.654501,-79.460053,1,1,1,2025-07-07 23:03:34
7224,"Bloor St W / High Park Ave (High Park)",23,3,20,1751943734,43.6535269,-79.4650569,1,1,1,2025-07-07 23:03:34
7225,"Lake Shore Blvd W / Windermere Ave",19,8,7,1751943844,43.634896,-79.467763,1,1,1,2025-07-07 23:03:34
7226,"Lake Shore Blvd W / The Boulevard Club",19,16,2,1751943762,43.636731,-79.444966,1,1,1,2025-07-07 23:03:34
